founder_name,linkedin_url,cold_outreach_email
Dave Grannan,https://linkedin.com/in/grannan,"Subject: Quick 15 min re: Marr Labs' Vox voice agents

Hi Dave,

I came across Marr Labs and was struck by Vox's promise to make AI-voice agents indistinguishable from humans, especially the traction you've shown with Vox Mortgage's warm-transfer capability. Given your track record building Vlingo (the ASR behind the first Siri) and Light before that, it's clear you know how to take voice/ML technology from lab to massive commercial scale.

I'd love to learn more about how Marr Labs is tackling the $85B call-handling market and share a few ideas on where we might be able to help each other. Would you have 15 minutes this week or next for a quick call?

Happy to work around your schedule - let me know what time works best.

Best,
[Your Name]"
Han Shu,https://linkedin.com/in/hanshu,"Subject: 15 min chat about Marr Labs' AI voice stack?

Hi Han,

I've been following Marr Labs and am impressed by what you and Dave are building with Vox - human-like AI voice agents handling everything from scheduling to sales calls. Your background leading ML/AI at Airbnb and DoorDash, plus your speech/NLU work at Vlingo, gives Marr Labs a technical edge that's hard to match.

I'd love to grab 15 minutes to hear more about your approach to real-time conversational AI and see if there's a way we could support what you're building.

Would you be open to a quick call in the next week or two? I'm flexible on timing.

Best,
[Your Name]"
Himank Jain,https://linkedin.com/in/himank1,"Subject: 15 minutes to discuss GetCrux's AI Creative Strategist?

Hi Himank,

I've been reading about GetCrux and think the idea of an AI Creative Strategist that surfaces winning ad patterns across 100+ parameters is exactly what performance marketing teams need right now - most are still guessing at what makes a creative work. Your background in ML/NLP at J&J and leading Mood Indigo shows you can both build the tech and rally a market around it.

I'd love to learn more about how GetCrux is helping teams cut CAC and would appreciate 15 minutes of your time to explore whether there's a way we could work together.

Would you be free for a quick call this week or next?

Best,
[Your Name]"
Atharva Padhye,https://linkedin.com/in/atharvapadhyecrux,"Subject: Quick call about GetCrux's approach to ad creative insights?

Hi Atharva,

Congrats on GetCrux's progress - the idea of an AI system that learns from competitor ads, comments, and reviews to recommend new creative angles is a compelling answer to a problem every growth team struggles with. It's great to see you and the team building this since your college days, and the traction with YC companies iterating 10x faster is a strong signal.

I'd love to hear more about your roadmap and see if there's an opportunity to collaborate. Could we grab 15 minutes for a call sometime this week or next?

Best,
[Your Name]"
Prabhat Singh,https://linkedin.com/in/prabhat7758,"Subject: 15 min re: GetCrux and AI-driven ad creative strategy

Hi Prabhat,

I came across GetCrux and love the mission of turning ad creative from guesswork into a data-driven process - especially given your interest in AGI and your experience co-founding Eduride. The idea of an AI Creative Strategist that recommends exactly what to launch next based on 100+ creative parameters is a great wedge into a huge, underserved market.

I'd really appreciate 15 minutes of your time to learn more about what you're building and explore how we might support GetCrux's growth.

Would you have time for a quick call this week or next?

Best,
[Your Name]"
Alex Liao,https://linkedin.com/in/alexliaoo,"Subject: 15 min call about Dragoneye's video detection models?

Hi Alex,

I've been looking into Dragoneye and think building custom video detection models in under 5 minutes is a huge unlock for teams that need computer vision without the usual months-long training cycles. That kind of speed-to-deploy is exactly what developers building on top of CV are asking for.

I'd love to learn more about your approach to model customization and training speed, and see if there's a way we could collaborate or support what you're building at Dragoneye.

Would you be open to a quick 15-minute call in the next week or two?

Best,
[Your Name]"
Kay Li,https://linkedin.com/in/kay-li-84924128b,"Subject: 15 minutes to discuss Silogy's AI debug platform for chip design?

Hi Kay,

I came across Silogy and was intrigued by the idea of an AI-powered test and debug platform purpose-built for chip developers - it's a space that's historically been slow and manual, and semiconductor teams badly need better tooling as chip complexity grows.

I'd love to hear more about how Silogy is speeding up test and debug cycles for hardware teams, and explore whether there's a way we could work together or support your growth.

Would you have 15 minutes for a call this week or next?

Best,
[Your Name]"
Paul Kim,https://linkedin.com/in/paul-kim-7b766262,"Subject: Quick call about Silogy's chip debug automation?

Hi Paul,

Silogy's approach to bringing AI into chip test and debug caught my attention - it's a workflow that's traditionally been a huge bottleneck for hardware teams, and automating it well could meaningfully speed up chip development cycles.

I'd love to learn more about the technical approach you and Kay are taking and see if there's an opportunity to collaborate or help however we can.

Would you be free for a 15-minute call sometime in the next week or two?

Best,
[Your Name]"
Elle Smyth,https://linkedin.com/in/ellesmyth,"Subject: 15 min re: RetailReady's supply chain compliance engine

Hi Elle,

I've been following RetailReady and think the AI-powered supply chain compliance engine you're building addresses a real pain point - chargebacks and compliance failures cost retailers and their suppliers real money, and most existing solutions are painfully manual. It's a smart, focused wedge into a huge logistics market.

I'd love to hear more about how RetailReady is helping warehouse teams stay compliant and reduce chargebacks, and explore whether there's a way we could support what you're building.

Would you have 15 minutes for a quick call this week or next?

Best,
[Your Name]"
Sarah Hamer,https://linkedin.com/in/sarah-hamer-881bb6126,"Subject: Quick call about RetailReady's compliance automation?

Hi Sarah,

RetailReady's approach to automating supply chain compliance with AI stood out to me - giving warehouse teams real-time guidance to avoid chargebacks is a clear, high-value problem to solve, and one that scales well across retail supply chains.

I'd love to learn more about your traction and product roadmap, and see if there's a way we could work together or support RetailReady's growth.

Would you be open to a 15-minute call sometime in the next week or two?

Best,
[Your Name]"
