founder_name,linkedin_url,cold_outreach_email
"Dave Grannan","https://linkedin.com/in/grannan","Subject: Quick question about Marr Labs' voice AI approach

Hi Dave,

I've been following Marr Labs and I'm impressed by what you're building - AI voice agents that are genuinely indistinguishable from humans is a huge leap from the speech tech we've seen so far. Given your background founding Vlingo (which powered the first Siri) and later Light, it's clear you've spent your career pushing voice and vision AI forward, and Marr Labs feels like the natural next chapter.

I'd love to learn more about how you're approaching the human-likeness problem and where you see the biggest opportunities for teams like ours to work together. Would you be open to a quick 15-minute call in the next week or two?

Best,
[Your Name]"
"Han Shu","https://linkedin.com/in/hanshu","Subject: Your work on ASR/NLU at Marr Labs

Hi Han,

Your path from building ASR/NLU at Vlingo (powering early Siri) to leading ML/AI at Airbnb and DoorDash, and now to Marr Labs, is exactly the kind of trajectory that makes me want to reach out. Indistinguishable AI voice agents is a genuinely hard problem, and it seems like you have the technical depth to actually crack it.

I'd love to hear more about the architecture behind Marr Labs and explore whether there's a fit for us to collaborate. Could we grab 15 minutes on a call sometime this week or next?

Best,
[Your Name]"
"Elle Smyth","https://linkedin.com/in/ellesmyth","Subject: RetailReady's approach to supply chain compliance

Hi Elle,

I came across RetailReady and your work building an AI-powered supply chain compliance engine really stood out - compliance chargebacks are such a costly, under-addressed pain point for retailers and their vendors. Your background at BlackRock and Stord clearly gave you a front-row seat to how badly this space needed a better solution.

I'd love to learn more about how RetailReady's platform works and see if there's a way we could support what you're building. Would you have 15 minutes for a call in the coming days?

Best,
[Your Name]"
"Sarah Hamer","https://linkedin.com/in/sarah-hamer-881bb6126","Subject: Loved learning about RetailReady

Hi Sarah,

I wanted to reach out after learning about RetailReady - as someone who spent time at Stord seeing retail compliance issues firsthand, it makes total sense that you and Elle built an AI engine to solve the chargeback problem at its root. That's the best kind of startup idea, born directly from the pain you lived.

I'd love to hear more about how the product is resonating with warehouse and fulfillment teams. Do you have 15 minutes for a quick call this week or next?

Best,
[Your Name]"
"Alex Liao","https://linkedin.com/in/alexliaoo","Subject: Dragoneye's 5-minute custom video models

Hi Alex,

Custom video detection models in under 5 minutes is a bold claim, and given your background at Jane Street and Facebook, I have no doubt Dragoneye is backing it up with serious engineering. Making computer vision accessible enough for any app to ""see the world"" is a compelling mission.

I'd love to learn more about how the platform works under the hood and explore whether there's a fit for us to work together. Would you be open to a 15-minute call sometime in the next week?

Best,
[Your Name]"
"Himank Jain","https://linkedin.com/in/himank1","Subject: GetCrux's AI Creative Strategist

Hi Himank,

I've been looking into GetCrux and think the idea of an AI Creative Strategist that finds winning patterns across 100+ ad parameters is a great answer to the guesswork so many performance marketers deal with. Your background as an ML engineer at J&J leading NLP initiatives clearly set you up well to tackle this.

I'd love to learn more about how GetCrux surfaces those creative insights and see if there's an opportunity for us to work together. Would you have 15 minutes for a call in the next week or two?

Best,
[Your Name]"
"Atharva Padhye","https://linkedin.com/in/atharvapadhyecrux","Subject: Impressed by GetCrux's traction

Hi Atharva,

I read about how you started GetCrux in college and turned down a Bain & Co offer to pursue it full time - that kind of conviction usually pays off, and it looks like it has here. The idea of an AI that watches every ad and tells you exactly why it works is exactly what performance marketing teams need.

I'd love to hear more about the roadmap and see if there's a way we could collaborate. Could we set up a quick 15-minute call sometime soon?

Best,
[Your Name]"
"Prabhat Singh","https://linkedin.com/in/prabhat7758","Subject: Question about GetCrux's AI approach

Hi Prabhat,

I came across GetCrux and wanted to reach out given your role building the AI Creative Strategist that helps marketers stop guessing and start iterating with data. Your background co-founding Eduride shows you have a track record of building things that actually solve real problems at scale.

I'd love to learn more about how you're thinking about the product roadmap, especially given your interest in AGI. Do you have 15 minutes for a call this week or next?

Best,
[Your Name]"
"Kay Li","https://linkedin.com/in/kay-li-84924128b","Subject: Silogy's approach to chip verification

Hi Kay,

I've been reading about Silogy and think tackling the ""verification gap"" in chip design with an AI-powered test and debug platform is a timely bet, especially with AI driving so much new chip demand. Your path from 8 years in high-frequency trading to founding Silogy is a pretty unique one, and it clearly gives you a sharp eye for where the inefficiencies are.

I'd love to learn more about how the platform helps teams cut down testing time and see if there's a fit for us to collaborate. Would you be open to a 15-minute call in the next week or so?

Best,
[Your Name]"
"Paul Kim","https://linkedin.com/in/paul-kim-7b766262","Subject: Silogy's verification and debug tooling

Hi Paul,

I wanted to reach out after learning about Silogy and the platform you and Kay are building for chip developers to run tests, track statistics, and collaborate on debugging in the cloud. Coming from Cloudflare, you clearly understand what great developer tooling looks like, and it shows in how you're approaching this problem.

I'd love to hear more about the roadmap for the collaborative debugging features and explore whether there's an opportunity to work together. Could we grab 15 minutes for a call sometime soon?

Best,
[Your Name]"
