founder_name,linkedin_url,cold_outreach_email
Bing Wu,https://linkedin.com/in/binw,"Subject: 15 minutes to learn about Retell AI?

Hi Bing,

I came across Retell AI and was really impressed by what you're building - an API platform for building human-like AI voice agents for contact centers, achieving ~800ms response times. I particularly admired your background as a PM at ByteDance/TikTok leading B2B and consumer products, plus founding two investor-backed startups in college, and it's clear that background is paying off in how you've shaped Retell AI's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CEO at Retell AI and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Bing.

Best,
Alex"
Todd Li,https://www.linkedin.com/in/toddli1/,"Subject: 15 minutes to learn about Retell AI?

Hi Todd,

I came across Retell AI and was really impressed by what you're building - an API platform for building human-like AI voice agents for contact centers, achieving ~800ms response times. I particularly admired your role driving Retell AI's growth as President and Co-founder, and it's clear that background is paying off in how you've shaped Retell AI's product.

I'm reaching out because I'd love to learn more about your approach as Co-Founder & President at Retell AI and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Todd.

Best,
Alex"
Evie Wang,https://linkedin.com/in/yanwang131415,"Subject: 15 minutes to learn about Retell AI?

Hi Evie,

I came across Retell AI and was really impressed by what you're building - an API platform for building human-like AI voice agents for contact centers, achieving ~800ms response times. I particularly admired your design background and 3 years as a Product Designer at ByteDance shaping Retell AI's go-to-market, and it's clear that background is paying off in how you've shaped Retell AI's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CMO at Retell AI and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Evie.

Best,
Alex"
Weijia Yu,https://linkedin.com/in/weijia-y-76b816194,"Subject: 15 minutes to learn about Retell AI?

Hi Weijia,

I came across Retell AI and was really impressed by what you're building - an API platform for building human-like AI voice agents for contact centers, achieving ~800ms response times. I particularly admired your machine learning and product leadership experience at Meta and ObEN building full-stack AI (TTS, computer vision, chatbots), and it's clear that background is paying off in how you've shaped Retell AI's product.

I'm reaching out because I'd love to learn more about your approach as Founder at Retell AI and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Weijia.

Best,
Alex"
Zexia Zhang,https://linkedin.com/in/zexia-zhang-171480133,"Subject: 15 minutes to learn about Retell AI?

Hi Zexia,

I came across Retell AI and was really impressed by what you're building - an API platform for building human-like AI voice agents for contact centers, achieving ~800ms response times. I particularly admired your four years at Google leading next-gen speech translation and NLP for call analysis, and it's clear that background is paying off in how you've shaped Retell AI's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CTO at Retell AI and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Zexia.

Best,
Alex"
Dave Grannan,https://linkedin.com/in/grannan,"Subject: 15 minutes to learn about Marr Labs?

Hi Dave,

I came across Marr Labs and was really impressed by what you're building - AI voice agents that handle phone-based jobs like scheduling, sales, and support calls at a fraction of the cost of a human agent. I particularly admired your history as founding CEO of Vlingo (acquired for $225M, powered the first Siri) and your work with Maluuba and Light, and it's clear that background is paying off in how you've shaped Marr Labs's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CEO at Marr Labs and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Dave.

Best,
Alex"
Han Shu,https://linkedin.com/in/hanshu,"Subject: 15 minutes to learn about Marr Labs?

Hi Han,

I came across Marr Labs and was really impressed by what you're building - AI voice agents that handle phone-based jobs like scheduling, sales, and support calls at a fraction of the cost of a human agent. I particularly admired your work co-founding Vlingo's speech recognition stack for Siri and leading ML/AI groups at Airbnb and DoorDash, and it's clear that background is paying off in how you've shaped Marr Labs's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CTO at Marr Labs and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Han.

Best,
Alex"
Ken Hendricks,https://linkedin.com/in/ken-hendricks-96181611a,"Subject: 15 minutes to learn about Basepilot?

Hi Ken,

I came across Basepilot and was really impressed by what you're building - line-of-business-specific AI agents that automate claims operations for insurers, TPAs, and MGAs like Old Republic and Zurich. I particularly admired your experience scaling a B2B fintech to 3M users and building a computer vision startup that partnered with Deloitte, KPMG, EY, and BMW, and it's clear that background is paying off in how you've shaped Basepilot's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CEO at Basepilot and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Ken.

Best,
Alex"
Pascal Wieler,https://linkedin.com/in/pascal-wieler,"Subject: 15 minutes to learn about Basepilot?

Hi Pascal,

I came across Basepilot and was really impressed by what you're building - line-of-business-specific AI agents that automate claims operations for insurers, TPAs, and MGAs like Old Republic and Zurich. I particularly admired your research in robotic manipulation and imitation learning at Carnegie Mellon and self-driving car work at Mercedes-Benz, and it's clear that background is paying off in how you've shaped Basepilot's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder at Basepilot and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Pascal.

Best,
Alex"
Runbo Li,https://linkedin.com/in/runboli,"Subject: 15 minutes to learn about Magic Hour?

Hi Runbo,

I came across Magic Hour and was really impressed by what you're building - a platform that packages the best AI video models into one workflow so anyone can create professional-quality videos from a template. I particularly admired your background as a senior data scientist at Meta's NPE team building zero-to-one consumer social products, and it's clear that background is paying off in how you've shaped Magic Hour's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CEO at Magic Hour and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Runbo.

Best,
Alex"
David Hu,https://linkedin.com/in/davidhu2000,"Subject: 15 minutes to learn about Magic Hour?

Hi David,

I came across Magic Hour and was really impressed by what you're building - a platform that packages the best AI video models into one workflow so anyone can create professional-quality videos from a template. I particularly admired your full-stack engineering work at Skillz across multiple product teams from Series B through IPO, and it's clear that background is paying off in how you've shaped Magic Hour's product.

I'm reaching out because I'd love to learn more about your approach as Co-founder & CTO at Magic Hour and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, David.

Best,
Alex"
Tianwei Yue,https://linkedin.com/in/tianwei-yue,"Subject: 15 minutes to learn about Mathos?

Hi Tianwei,

I came across Mathos and was really impressed by what you're building - an AI math solver and tutor (formerly MathGPTPro) that has empowered over 1M students across 200+ countries with ~20% higher accuracy than GPT-4o on math problems. I particularly admired your work building language agents since 2022 and your deep RL/robotics research background, and it's clear that background is paying off in how you've shaped Mathos's product.

I'm reaching out because I'd love to learn more about your approach as Founder at Mathos and share a few thoughts on where I think there could be mutual value. Would you be open to a quick 15-minute call sometime in the next week or two? I'll happily work around your schedule.

Looking forward to hearing from you, Tianwei.

Best,
Alex"
