founder_name,linkedin_url,cold_outreach_email
Bing Wu,https://linkedin.com/in/binw,"Subject: Quick 15-min chat re: Retell AI's voice agent roadmap

Hi Bing,

I've been following Retell AI's work on AI phone agents for contact centers and I'm impressed by how you've applied your product background from ByteDance/TikTok to tackle voice automation at scale. The move from consumer products serving billions to building infrastructure for enterprise contact centers is a compelling arc.

I'd love to grab 15 minutes on a call to learn more about how you're thinking about the next phase of Retell AI's growth and share a few ideas that might be relevant to your roadmap. Would you have any availability this week or next?

Best,
[Your Name]"
Todd Li,https://www.linkedin.com/in/toddli1/,"Subject: 15 minutes to discuss Retell AI's growth?

Hi Todd,

Congrats on the traction Retell AI has been building in the AI phone agent space. As Co-Founder & President, I imagine you're deep in the operational and go-to-market challenges of scaling voice AI for contact centers.

I'd appreciate 15 minutes of your time to hear more about what's working and to share a perspective that could be useful as you scale. Do you have a slot open in the coming days for a quick call?

Best,
[Your Name]"
Evie Wang,https://linkedin.com/in/yanwang131415,"Subject: Loved Retell AI's design approach - 15 min call?

Hi Evie,

Your background as a product designer at ByteDance clearly shows in how polished Retell AI's product experience is for such a technical, voice-AI-driven product. As Co-founder & CMO, you're uniquely positioned to bridge design and marketing for a category that's still being defined.

I'd love 15 minutes on a call to learn more about your positioning and messaging strategy for Retell AI, and share a few thoughts that might help as you continue to grow the brand. Would you be open to connecting this week?

Best,
[Your Name]"
Weijia Yu,https://linkedin.com/in/weijia-y-76b816194,"Subject: 15 min re: Retell AI + your ObEN/Meta background

Hi Weijia,

Your path from leading app development at ObEN to a PM/Tech Lead role at Meta and now building Retell AI is a great foundation for tackling AI phone agents - you clearly understand both the AI product and infra sides.

I'd love to grab 15 minutes to hear how you're thinking about Retell AI's technical roadmap and share a few ideas that might be useful. Any chance you're free for a quick call this week or next?

Best,
[Your Name]"
Zexia Zhang,https://linkedin.com/in/zexia-zhang-171480133,"Subject: Quick call on Retell AI's speech/NLP stack?

Hi Zexia,

Your four years at Google leading speech translation and NLP for call analysis is exactly the kind of deep expertise that makes Retell AI's voice agents so compelling. As Co-founder & CTO, I'd guess you're constantly pushing on latency, accuracy, and reliability for real-time voice AI.

I'd love 15 minutes on a call to learn more about the technical challenges you're solving and share a few thoughts that might be relevant. Would you have time for a short call this week?

Best,
[Your Name]"
Daksh Gupta,https://linkedin.com/in/dakshg,"Subject: 15 min on Greptile's AI code review approach?

Hi Daksh,

I've been following Greptile's approach to AI code review with full codebase context - it's a much-needed upgrade over shallow diff-based reviewers, and I can see the Georgia Tech CS + Amazon background paying off in how you've architected this.

I'd love to grab 15 minutes on a call to learn more about how Greptile is scaling and to share a few ideas that might be useful for your roadmap. Would you have any availability this week or next?

Best,
[Your Name]"
Soohoon Choi,https://linkedin.com/in/soohoonchoi,"Subject: Quick 15-min call on Greptile's technical architecture?

Hi Soohoon,

As CTO/Co-founder of Greptile, you're solving one of the harder problems in AI tooling - giving code review agents genuine, full-repo context. I'd love to learn more about the technical approach behind that.

Could I get 15 minutes of your time for a call this week or next? I'd like to hear more about what you're building and share a few thoughts that might be relevant.

Best,
[Your Name]"
Vaishant Kameswaran,https://linkedin.com/in/vaishant,"Subject: 15 min chat about Greptile?

Hi Vaishant,

Your CS background with a linguistics minor from Georgia Tech feels like a perfect combination for building an AI code review agent that actually understands codebases the way engineers do - which is exactly what Greptile promises.

I'd love to connect for 15 minutes to learn more about Greptile's progress and share a few ideas that might be useful as you grow. Would you have time for a quick call this week?

Best,
[Your Name]"
Daniel Chalef,https://linkedin.com/in/danielchalef,"Subject: 15 min on Zep AI's memory layer for agents?

Hi Daniel,

Given your background founding KnowledgeTree and your operating experience at SparkPost through the MessageBird acquisition, it's clear you understand both the technical and business sides of building durable infrastructure - and Zep AI's memory layer for LLM agents is tackling a critical gap in the space.

I'd love to grab 15 minutes on a call to learn more about how teams are adopting Zep AI's context layer and share a few thoughts that might be relevant to your roadmap. Would you be open to a quick call this week or next?

Best,
[Your Name]"
Jaspar Carmichael-Jack,https://linkedin.com/in/jaspar-carmichael-jack,"Subject: 15 min re: Artisan's AI BDR (Ava)?

Hi Jaspar,

Artisan's vision of consolidating and automating outbound sales with Ava, your AI BDR, is one of the more ambitious takes on the 'AI employee' concept I've seen come out of YC. I'd love to learn more about how enterprise revenue teams are responding to it.

Could I get 15 minutes of your time for a call this week or next? I'd like to hear more about Artisan's traction and share a few ideas that might be useful.

Best,
[Your Name]"
Michael Rosenfield,https://linkedin.com/in/rosenfieldmichael,"Subject: 15 min on Decipher AI's QA agents?

Hi Michael,

Your experience as a Senior PM at Google leading the first native ads format on Google Maps and the Pixel premium tier line gives you a strong product lens on Decipher AI's mission to keep QA pace with AI-accelerated shipping.

I'd love to grab 15 minutes on a call to learn more about how teams are using Decipher AI's E2E test generation and share a few thoughts that might be relevant to your roadmap. Would you have any availability this week or next?

Best,
[Your Name]"
Rohan Das,https://linkedin.com/in/rohan-d,"Subject: Quick 15-min call on Decipher AI's testing agents?

Hi Rohan,

Rebuilding the YouTube Homepage service to handle billions of daily requests as a staff engineer at Google clearly gave you the engineering rigor behind Decipher AI's approach to agentic, self-maintaining QA. It's a compelling answer to the testing gap created by AI coding agents.

I'd love 15 minutes on a call to learn more about Decipher AI's technical approach and share a few ideas that might be useful as you scale. Would you have time for a short call this week or next?

Best,
[Your Name]"
